filename,transcription,language,processing_time_s,status_code,error
BFP-20250601-3.m4a,السلام عليكم بغيت نديك ليه على واحد المشكل وقع ليا فواحد الساعة درت الكارديشي ف la machine وكان تسمى تخرج ليا درت كلشي العملية كاتتم بسلاسة واحد الشوية هي دخلت كارديشي والفلوس ماكاينينش كانتسنى تخرج الفلوس فلوس ماكاينينش كاندخل ل l'application كانلقاه مامقطعته ليا تلاتالاف وربعمية درهم تلاتالاف وربعمية درهم ماشديتهاش وتحيدتوها ليهم مقطعتوهم كاين شي بلاغ على هاد المشكل هذا شنو هما العملية اللي غاندير باش,Arabic,109.31,200,
BFP-20250626-9.m4a,السلام عليكم اخويا كان جاتني واحد الفيرمو فيها واحد 270 درهم ولكن ما وصلاتنيش للكونط ديالي شكرا,Arabic,24.572,200,
BFP-20250630-56.m4a,السلام عليكم أنا صاحب واحد المبلغ من Alfa Life Bank فزاوية ادسمعيي منطقة الجديدة صاحب هاد المبلغ ولم أرقم المبلغ أتم صاحبهم يراسيدي شكرا,Arabic,32.27,200,
BFP-20250703-26.m4a,السلام عليكم أنا كنت درت recherche passe internet من l'application تجارية ولكن ما توصلت بنتي شي حاجة وفاش هضرت مع service clientèle ديال الاتصالات قالو لي بأن راه البروبليم كاين ف la banque وحنا ما توصلنا بنتي شي حاجة alors que c'est 100 درهم ت debitat من الكونط ديالي,Arabic,60.417,200,
BFP-20250703-88.m4a,السلام عليكم بالنسبة لك carte bancaire ديال وجدة دابا كنبغي نعمرها غير كنبغي نلقا فيها فلوس وتيديرو فيها سميتو المهم تيديرو البطاقة ما ما قادراش على الشاحن فهمتيني باقي ما ما فعلاش وحيتاش ماشي ماشي بزاف هادي باش قاديها,Arabic,53.81,200,
BFP-20250704-181.m4a,السلام عليكم المهم ريكلاماتي ولا عندي فهاد الكونط هذا كنت تيرييت من واحد الكيشي فالويزية ديال الشياش تيرييت منو 500 درهم خرجات ليا واحد تيكيطة بأن راه l'opération annuler à cause de distribution de biens المهم ماشي هي هادي وماخرجاتش ليا 500 درهم,Arabic,55.949,200,
BFP-20250709-73.m4a,السلام عليكم خديت des articles من مرجان من واحد البوتيط فمرجان ب 325 درهم وتقديت بالكارط Guichet دابا المونط تقطع جمعت راسها هي فاش دارت la carte خرجت ليها غير ticket وحدة عندي غير ticket وحدة 325 درهم وفالكونط ديالي مقطوعة مدوبلة مشيت عندهم لمرجان,Arabic,57.685,200,
BFP-20250710-159.m4a,سلام عليكم بغيت نعرف علاش غندير اقتطاعات بزاف كل مرة تيقطعو ليا بزاف مرة تقطعو ليا الف و 800 درهم سيمانة ليداز دابا عاود الف و 800 اخرى بلادك طناش بلادك داكشي كل مرة اقتطاع انا كانبغي نوجد فلوس الطناش وما دابا بديت جديدة كل مرة عندي اقتطاعات ماعرفتش شنو المشكل لي عندي شممكن نعرف المشكل,Arabic,99.327,200,
BFP-20250710-262.m4a,سلام، أنا كانحط الفلوس فالحساب ديالي ملي كانولي نقلب كانلقى الفلوس ناقصة، شنو هادشي هذا؟,Arabic,23.54,200,
BFP-20250711-139.m4a,السلام عليكم بالنسبة لـ trading و la mention قمت بسحب ديال واحد 2000 درهم من واحد البنك آخر اللي هو فالمدينة مظفرة ولكن ماخرجش ليا المبلغ تم قطع ديالو اليوم أنا اللي كنعرف اليوم قطع ديالو اليوم 10/20 2025 و l'opération دارت ف 22 شافت 25 و كنت كنرجع اليوم لأن,Arabic,57.271,200,
